game_id,season,game_date,home_team,away_team,home_win,margin,home_ppg,away_ppg,home_papg,away_papg,ppg_diff,papg_diff,home_win_rate,away_win_rate,win_rate_diff,home_rest_days,away_rest_days,rest_diff,home_series_wins,away_series_wins,series_wins_diff,is_finals,home_court,recent_win_rate_diff,recent_margin_diff,fg_pct_diff,fg3_pct_diff,reb_diff,ast_diff,tov_diff,h2h_win_rate_diff
42100113,2021-22,2022-04-23,BKN,BOS,0,-6,110.5,114.5,114.5,110.5,-4.0,-4.0,0.0,1.0,-1.0,1.0,1.0,0.0,0,2,-2,0,1,-1.0,-8.0,0.0035000000000000586,0.10749999999999998,-7.0,-7.5,-1.0,-1.0
42100134,2021-22,2022-04-23,TOR,PHI,1,8,103.0,115.66666666666667,115.66666666666667,103.0,-12.666666666666671,-12.666666666666671,0.0,1.0,-1.0,1.0,1.0,0.0,0,3,-3,0,1,-1.0,-25.333333333333332,-0.0636666666666667,-0.09033333333333338,-8.0,-0.33333333333333215,4.0,-1.0
42100154,2021-22,2022-04-23,MIN,MEM,1,1,107.0,115.0,115.0,107.0,-8.0,-8.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,1.0,1.0,0.0,1,2,-1,0,1,-0.3333333333333333,-16.0,-0.023333333333333373,0.02033333333333337,-1.3333333333333286,-2.333333333333332,-4.666666666666668,-0.3333333333333333
42100174,2021-22,2022-04-23,UTA,DAL,1,1,107.0,109.66666666666667,109.66666666666667,107.0,-2.6666666666666714,-2.6666666666666714,0.3333333333333333,0.6666666666666666,-0.3333333333333333,1.0,1.0,0.0,1,2,-1,0,1,-0.3333333333333333,-5.333333333333333,0.03866666666666663,-0.0533333333333334,12.666666666666664,-3.0,-6.666666666666666,-0.3333333333333333
42100104,2021-22,2022-04-24,ATL,MIA,0,-24,102.33333333333333,113.33333333333333,113.33333333333333,102.33333333333333,-11.0,-11.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,1.0,1.0,0.0,1,2,-1,0,1,-0.3333333333333333,-22.0,-0.024999999999999967,-0.0736666666666666,-1.6666666666666643,-8.666666666666668,-1.666666666666666,-0.3333333333333333
42100124,2021-22,2022-04-24,CHI,MIL,0,-24,93.66666666666667,104.66666666666667,104.66666666666667,93.66666666666667,-11.0,-11.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,1.0,1.0,0.0,1,2,-1,0,1,-0.3333333333333333,-22.0,-0.04366666666666674,-0.02799999999999997,-6.0,-3.0,3.0,-0.3333333333333333
42100144,2021-22,2022-04-24,NOP,PHX,1,15,111.66666666666667,112.66666666666667,112.66666666666667,111.66666666666667,-1.0,-1.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,1.0,1.0,0.0,1,2,-1,0,1,-0.3333333333333333,-2.0,-0.04533333333333339,0.14,13.333333333333329,-2.666666666666668,-6.0,-0.3333333333333333
42100164,2021-22,2022-04-24,DEN,GSW,1,5,108.66666666666667,122.33333333333333,122.33333333333333,108.66666666666667,-13.666666666666657,-13.666666666666657,0.0,1.0,-1.0,1.0,1.0,0.0,0,3,-3,0,1,-1.0,-27.333333333333332,-0.07966666666666672,-0.07799999999999996,6.666666666666664,-6.0,-2.0,-1.0
42100114,2021-22,2022-04-25,BKN,BOS,0,-4,108.0,112.66666666666667,112.66666666666667,108.0,-4.666666666666671,-4.666666666666671,0.0,1.0,-1.0,1.0,1.0,0.0,0,3,-3,0,1,-1.0,-9.333333333333334,0.004333333333333356,0.10699999999999998,-5.0,-5.333333333333336,-2.0,-1.0
42100135,2021-22,2022-04-25,PHI,TOR,0,-15,112.25,104.75,104.75,112.25,7.5,7.5,0.75,0.25,0.5,1.0,1.0,0.0,3,1,2,0,1,0.5,15.0,0.049000000000000044,0.11375000000000002,4.75,1.5,-4.0,0.5
42100175,2021-22,2022-04-25,DAL,UTA,1,25,107.0,105.25,105.25,107.0,1.75,1.75,0.5,0.5,0.0,1.0,1.0,0.0,2,2,0,0,1,0.0,3.5,-0.022999999999999965,0.05375000000000002,-10.25,1.75,4.25,0.0
42100105,2021-22,2022-04-26,MIA,ATL,1,3,112.5,98.25,98.25,112.5,14.25,14.25,0.75,0.25,0.5,1.0,1.0,0.0,3,1,2,0,1,0.5,28.5,0.027500000000000024,0.04349999999999998,3.0,7.5,3.5,0.5
42100145,2021-22,2022-04-26,PHX,NOP,1,15,110.25,113.25,113.25,110.25,-3.0,-3.0,0.5,0.5,0.0,1.0,1.0,0.0,2,2,0,0,1,0.0,-6.0,0.042749999999999955,-0.10275000000000001,-12.25,5.25,3.5,0.0
42100155,2021-22,2022-04-26,MEM,MIN,1,2,115.75,110.0,110.0,115.75,5.75,5.75,0.5,0.5,0.0,1.0,1.0,0.0,2,2,0,0,1,0.0,11.5,0.021250000000000047,-0.02300000000000002,2.25,3.75,3.0,0.0
42100125,2021-22,2022-04-27,MIL,CHI,1,16,108.25,94.0,94.0,108.25,14.25,14.25,0.75,0.25,0.5,1.0,1.0,0.0,3,1,2,0,1,0.5,28.5,0.06625000000000009,0.08724999999999994,6.25,0.75,-3.0,0.5
42100165,2021-22,2022-04-27,GSW,DEN,1,4,122.0,113.0,113.0,122.0,9.0,9.0,0.75,0.25,0.5,1.0,1.0,0.0,3,1,2,0,1,0.5,18.0,0.04425000000000007,0.025749999999999995,-4.25,4.0,2.75,0.5
42100136,2021-22,2022-04-28,TOR,PHI,0,-35,104.4,107.4,107.4,104.4,-3.0,-3.0,0.4,0.6,-0.19999999999999996,1.0,1.0,0.0,2,3,-1,0,1,-0.19999999999999996,-6.0,-0.013400000000000023,-0.09340000000000004,-3.1999999999999957,-0.5999999999999979,4.600000000000001,-0.19999999999999996
42100146,2021-22,2022-04-28,NOP,PHX,0,-6,110.0,110.6,110.6,110.0,-0.5999999999999943,-0.5999999999999943,0.4,0.6,-0.19999999999999996,1.0,1.0,0.0,2,3,-1,0,1,-0.19999999999999996,-1.2,-0.054200000000000026,0.048199999999999965,11.200000000000003,-7.0,-4.0,-0.19999999999999996
42100176,2021-22,2022-04-28,UTA,DAL,0,-2,99.6,106.0,106.0,99.6,-6.400000000000006,-6.400000000000006,0.4,0.6,-0.19999999999999996,1.0,1.0,0.0,2,3,-1,0,1,-0.19999999999999996,-12.8,0.006799999999999973,-0.07879999999999998,6.400000000000006,-2.1999999999999993,-4.000000000000001,-0.19999999999999996
42100156,2021-22,2022-04-29,MIN,MEM,0,-8,109.8,114.8,114.8,109.8,-5.0,-5.0,0.4,0.6,-0.19999999999999996,1.0,1.0,0.0,2,3,-1,0,1,-0.19999999999999996,-10.0,-0.01079999999999992,0.053200000000000025,-4.0,-3.1999999999999993,-3.5999999999999996,-0.19999999999999996
42100211,2021-22,2022-05-01,BOS,MIL,0,-12,113.5,109.8,109.0,95.2,3.700000000000003,-13.799999999999997,1.0,0.8,0.19999999999999996,2.0,2.0,0.0,0,0,0,0,1,0.19999999999999996,-10.1,0.019399999999999862,-0.027649999999999952,-12.299999999999997,2.3500000000000014,1.25,0.0
42100231,2021-22,2022-05-01,MEM,GSW,0,-1,114.66666666666667,118.0,109.16666666666667,110.0,-3.3333333333333286,0.8333333333333286,0.6666666666666666,0.8,-0.13333333333333341,2.0,2.0,0.0,0,0,0,0,1,0.0,1.1999999999999993,-0.06180000000000013,-0.04280000000000006,12.800000000000004,-2.6000000000000014,-3.4000000000000004,0.0
42100201,2021-22,2022-05-02,MIA,PHI,1,14,109.4,111.5,97.4,103.16666666666667,-2.0999999999999943,5.766666666666666,0.8,0.6666666666666666,0.13333333333333341,1.0,1.0,0.0,0,0,0,0,1,0.20000000000000007,6.0,-0.018400000000000027,-0.05300000000000005,-2.3999999999999986,2.3999999999999986,2.8000000000000007,0.0
42100221,2021-22,2022-05-02,PHX,DAL,1,7,111.33333333333333,104.66666666666667,109.83333333333333,99.0,6.666666666666657,-10.833333333333329,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0,0,0,0,1,-0.20000000000000007,-8.4,0.06679999999999997,-0.0716,-2.6000000000000014,7.399999999999999,-2.200000000000001,0.0
42100212,2021-22,2022-05-03,BOS,MIL,1,23,108.6,108.33333333333333,107.4,94.16666666666667,0.2666666666666657,-13.233333333333334,0.8,0.8333333333333334,-0.033333333333333326,1.0,1.0,0.0,0,1,-1,0,1,0.0,-14.4,-0.013399999999999967,-0.044999999999999984,-9.799999999999997,0.8000000000000007,-1.1999999999999993,-1.0
42100232,2021-22,2022-05-03,MEM,GSW,1,5,114.85714285714286,117.83333333333333,110.28571428571429,111.0,-2.9761904761904674,0.7142857142857082,0.5714285714285714,0.8333333333333334,-0.261904761904762,1.0,1.0,0.0,0,1,-1,0,1,-0.20000000000000007,-1.6,-0.06299999999999994,-0.009800000000000086,10.200000000000003,-2.8000000000000007,-3.200000000000001,-1.0
42100202,2021-22,2022-05-04,MIA,PHI,1,16,108.83333333333333,108.71428571428571,96.5,103.57142857142857,0.1190476190476204,7.071428571428569,0.8333333333333334,0.5714285714285714,0.261904761904762,1.0,1.0,0.0,1,0,1,0,1,0.4,9.8,-0.017800000000000038,-0.03959999999999997,-0.20000000000000284,0.0,3.5999999999999996,1.0
42100222,2021-22,2022-05-04,PHX,DAL,1,20,112.71428571428571,106.0,110.42857142857143,102.14285714285714,6.714285714285708,-8.285714285714292,0.7142857142857143,0.5714285714285714,0.1428571428571429,1.0,1.0,0.0,1,0,1,0,1,0.20000000000000007,-2.2,0.0676,-0.05559999999999993,0.0,8.799999999999997,-0.6000000000000014,1.0
42100203,2021-22,2022-05-06,PHI,MIA,1,20,108.0,110.28571428571429,105.5,97.42857142857143,-2.285714285714292,-8.07142857142857,0.5,0.8571428571428571,-0.3571428571428571,2.0,2.0,0.0,0,2,-2,0,1,-0.6000000000000001,-14.799999999999999,-0.0009999999999999454,-0.009599999999999997,-4.199999999999996,-1.0,-0.7999999999999989,-1.0
